도서번호	등록번호	작가명(저자)	도서명	출판사
234	EM00235	어머니 이야기	"한스 크리스티안 안데르센 지음,조선경 그림,강신주 옮김"	북하우스 퍼블리셔스
235	EM00236	지구인만큼 지구를 사랑할 순 없어  : 정세랑 에세이	정세랑	위즈덤하우스
236	EM00237	"아들아,  돈 공부해야 한다  : 50억 부자 아빠의 현실 경제 수업"	정선용 지음	RHK(알에이치코리아)
237	EM00238	나는 당신이 주식 공부를 시작했으면 좋겠습니다  : 보이지 않는 세상에서 투자하는 법	이효석 지음	Page2(페이지2북스)
238	EM00239	7년의 밤  : 정유정 장편소설	정유정 지음	은행나무
239	EM00240	"메타버스  = ,Metaverse  : 디지털 지구,  뜨는 것들의 세상"	김상균 지음	플랜비디자인
240	EM00241	올바름이라는 착각  : 우리는 왜 조던 피터슨에 열광하는가	유튜브 읽어주는 남자	데이포미 :바이포엠
241	EM00242	고구려  : 김진명 역사소설	김진명	이타(이타북스)
242	EM00243	"(잘될 운명으로 가는) 운의 알고리즘  = ,The algorithm of luck"	정회도 지음	Soul Society(소울소사이어티)
243	EM00244	공정하다는 착각 : 능력주의는 모두에게 같은 기회를 제공하는가	"마이클 샌델 지음,함규진 옮김"	와이즈베리:미래엔
244	EM00245	왜 일하는가  : 지금 당신이 가장 뜨겁게 물어야 할 첫 번째 질문	"이나모리 가즈오,옮긴이: 김윤경"	다산북스
245	EM00246	(고수들은 알았지만 당신은 몰랐던) 부동산 상승신호 하락신호	신현강 지음	잇콘
246	EM00247	질서 너머  : 인생의 다음 단계로 나아가는 12가지 법칙	"조던 피터슨 지음,김한영 옮김"	웅진지식하우스 :웅진씽크빅
