도서명,저자,출판사
불가능한 종이의 역사 : 이원 시집,이원 : 지은이,문학과지성사
갈라진다 갈라진다 : 김기택 시집,김기택,문학과지성사
설산 국경 : 우대식 시집,우대식 지음,문예중앙
전쟁광 보호구역 : 반칠환 시집,반칠환,지혜 :애지
둥근 진동 : 조성국 시집,조성국 : 지은이,애지
천국은 언제쯤 망가진 자들을 수거해가나 : 김성규 시집,김성규,창비
눈물을 자르는 눈꺼풀처럼 : 함민복 시집,함민복,창비
사슴공원에서 : 고영민 시집,고영민 : 지은이,창비
거인을 보았다 : 백상웅 시집,백상웅 지음,창비
"스님, 메리 크리스마스 : 박남준 산문집",박남준,한겨레출판
삶은 홀수다 : 김별아 산문,김별아 지음,한겨레출판
왜 그 이야기는 음악이 되었을까 : 아름다운 멜로디 뒤에 가리어진 반전 스토리,이민희 지음,팜파스
걸어라 우울한 소년! : 최원종 희곡집,최원종 지음,평민사
이매창 평전 : 시와 사랑으로 세상을 품은 조선의 기생,김준형 지음,한겨레출판
"갈매나무의 시인, 백석",이숭원,살림출판사
내가 읽은 박완서,김윤식 지음,문학동네
립스틱 발달사 : 서안나 시집,서안나,천년의시작
이미 뜨거운 것들 : 최영미 시집,최영미,실천문학
따뜻한 외면,복효근,실천문학
사과를 내밀다,맹문재 : 지은이,실천문학
바다가 처음 번역된 문장,노향림 : 지은이,실천문학
방! : 정일근 시집,정일근,서정시학
거꾸로 가자 : 윤재철 시집,윤재철,삶창
저렇게 오렌지는 익어 가고 : 여태천 시집,여태천,민음사
구관조 씻기기,황인찬 지음,민음사
"두텁나루 숲, 그대 : 박두규 시집",박두규,문학들
조선통신사의 길에서 오늘을 묻다 : 조선통신사 국내노정 답사기,한태문 지음,경진
"아주 사적인 독서,전자자료 : 욕망에 솔직해지는 고전읽기",이현우 지음,웅진씽크빅 :웅진지식하우스
매력만점 철거농성장 : 유채림 펑크록,"유채림,사진: 박김형준",실천문학
"아빠를 키우는 아이 : 아빠 육아, 이 커다란 행운",박찬희,소나무
영남알프스 오디세이 : 억새야 길을 묻는다,배성동 지음,삶창
독수리표 쉐이코 카세트 : 내맘대로 노래 듣기,류인숙 지음,삶창
"벼랑 위의 꿈들 : 길에서 만난 세상, 인권 르포르타주 : 정지아 르포집",글쓴이: 정지아,삶창
침묵으로의 여행 : 내 안의 수도원을 찾아,진동선 사진,문예중앙
이름이 없는 너를 부를 수 없는 나는 : 나에게서 가장 멀리 뒤돌아선 곳으로 떠나는 여행 : 김태형 산문집,김태형,마음의숲
지금도 나를 가르치는 아이,"글쓴이: 황금성,그린이: 황해뜨리",단비
이야기를 만드는 기계,김진송 지음,난다 :문학동네
"디스 이즈 아프리카 = ,This is Africa",정해종 지음,난다:문학동네
너 1825일의기록 : 이동근 여행에세이,이동근 : 지은이,북이십일 21세기북스
"그냥 걷다가, 문득 : 이혜경 첫 산문집",이혜경,강
교군의 맛 : 명지현 장편소설,명지현 지음,현대문학
1987 : 하창수 장편소설,하창수,호메로스
단 한 번의 연애 : 성석제 장편소설,성석제 지음,Human ＆ Books
매운 눈꽃 : 이동하 소설집,이동하 : 지은이,현대문학
뤼미에르 피플 : 장강명 연작소설,장강명 지음,한겨레출판
나는 꽃 도둑이다 : 이시백 장편소설,이시백,한겨레출판
"꿈은 누가 꾸는가?! : 섬의 여인, 김만덕",현길언,물레
망치,원재훈,작가세계
그들이 내 이름을 부를 때,방현석 지음,이야기 공작소
불의 기억 : 전민식 장편소설,전민식,은행나무
숲의 대화 : 정지아 소설집,정지아,은행나무
불온한 응시 : 이재웅소설집,이재웅,실천문학
덤블링 트리 : 신장현 소설집,신장현 : 지은이,실천문학
"길에서, 길을 보다 : 정수남 소설집",정수남 : 지은이,새미
밤의 눈 : 조갑상 장편소설,조갑상 지음,산지니
작화증 사내 : 정광모 소설집,정광모,산지니
장미화분 : 김현 소설집,김현 : 지은이,산지니
옥수동 타이거스 : 최지운 장편소설,최지운,민음사
신성한 봄,강석경,민음사
능력자 : 최민석 장편소설,최민석 : 지은이,민음사
넘버 : 노희준 장편소설,노희준 : 지은이,민음사
물의 연인들 : 김선우 장편소설,김선우 지음,민음사
수양산 그늘 : 정강철 소설집,정강철 : 지은이,문학들
너 없는 그 자리 : 이혜경 소설,이혜경,문학동네
해협의 빛 : 전혜정 소설,전혜정 지음,문학동네
해피 패밀리 : 고종석 장편소설,고종석,문학동네
너무 아름다운 꿈 : 최은미 소설,최은미,문학동네
달에게 들려주고 싶은 이야기 : 신경숙 짧은 소설,신경숙,문학동네
모든 복은 소년에게 : 정철훈 장편소설,정철훈,문학동네
비자 나무 숲 : 권여선 소설집,권여선,문학과지성사
정결한 집 : 정찬 소설집,정찬,문학과지성사
푸른 유리 심장 : 양진채 소설집,양진채 : 지은이,문학과지성사
모르는 척 : 안보윤 장편소설,안보윤 지음,문예중앙
갓길에서의 짧은 잠 : 최수철 소설집,최수철 지음,문학과지성사
"그만, 뛰어내리다 : 심아진 소설집",심아진,문이당
코뿔소 지나가다,연용흠 지음,Book In
눈이 내리네 : 김미선 소설,김미선 지음,개미
일요일의 철학 : 조경란 소설집,조경란,창비
당분간 인간 : 서유미 소설집,서유미 지음,창비
"멈추면, 비로소 보이는 것들 : 혜민 스님과 함께하는 내 마음 다시보기",혜민,쌤앤파커스
학교의 눈물 : 어른들이 모르는 아이들의 세계에서는 무슨 일이 벌어지고 있는가?,SBS스페셜 제작팀 지음,프롬북스
(하루 3시간) 엄마 냄새,이현수 지음,김영사
바람이 분다 당신이 좋다 : 이병률 여행산문집,이병률,달출판사
나는 오늘도 나를 응원한다 : 평생 흔들리지 않을 자신감 회복 프로젝트,"마리사 피어 지음,이수경 옮김",비즈니스북스
꾸뻬 씨의 행복 여행,"프랑수아 를로르 지음,오유란 옮김",오래된미래
그때 알았더라면 좋았을 것들 : 가슴속에 품어야 할 청춘의 키워드 20,정여울 지음,북이십일 21세기북스
내가 생각하는 집,권은순 지음,미호
달에게 들려주고 싶은 이야기 : 신경숙 짧은 소설,신경숙,문학동네
삶은 속도가 아니라 방향이다,"수영,전성민 공지음",루이앤휴잇
스님의 주례사 : 행복한 결혼생활을 위한 남녀 마음 이야기,"법륜 지음,김점선 그림",휴 :한겨레출판
천 번을 흔들려야 어른이 된다 : 세상에 첫발을 내디딘 어른아이에게,김난도 지음,오우아:문학동네
장사의 시대 : 마케팅 원론에는 없는 세일즈의 모든 것,"필립 델브스 브러턴 지음,문희경 옮김",어크로스
책은 도끼다 : 박웅현 인문학 강독회,박웅현 지음,북하우스 퍼블리셔스
나는 죽을 때까지 재미있게 살고싶다 : 멋지게 나이 들고 싶은 사람들을 위한 인생의 기술 53,"이근후 지음,김선경 엮음",웅진씽크빅
적을 만들지 않는 대화법 : 사랑을 얻는 마법의 대화 기술 56,"샘 혼 지음,이상원 옮김",갈매나무
"리딩으로 리드하라 = ,Reading lead : 세상을 지배하는 0",이지성 지음,문학동네
아이를 크게 키우는 말 VS 아프게 하는 말 : 부모 & 아이 대화사전,"정윤경,김윤정 지음,홍시야 그림",담소
아프니까 청춘이다 : 인생 앞에 홀로 선 젊은 그대에게,김난도 지음,쌤앤파커스
노랑무늬영원 : 한강 소설집,한강 지음,문학과지성사
나는 다만 조금 느릴 뿐이다,강세형 지음,쌤앤파커스
두뇌성격이 아이 인생을 결정한다,김영훈 지음,이다미디어
자유의 역설 : 주코티 공원에서 광화문 광장까지 : 염무웅 산문집,염무웅,삶창
지금은 클래식을 들을 시간,서영처 지음,이랑Books
파도가 바다의 일이라면 : 김연수 장편소설,김연수,자음과모음
실연당한 사람들을 위한 일곱시 조찬 모임,백영옥 지음,자음과모음
은행나무 소년 : 정도상 장편소설,정도상 지음,창비
스핑크스도 모른다 : 송하춘 창작집,송하춘,현대문학
지상의 노래 : 이승우 장편소설,이승우,민음사
비행운 : 김애란 소설집,김애란,문학과지성사
기차가 달린다 : 차노휘 소설집,차노휘,문학들
사랑이 달리다 : 심윤경 장편소설,심윤경,문학동네
즐거운 게임 : 박향 소설집,박향,산지니
최소한의 사랑 : 전경린 장편소설,전경린 지음,웅진씽크빅 :웅진지식하우스
"새드 무비 69 = ,Sad movie 69 : 김현식 장편소설",김현식,케포이북스
"잘 가라, 미소 : 김정남 소설집",김정남,삶창
입술을 건너간 이름 : 문성해 시집,문성해,창비
훔쳐가는 노래,진은영 지음,창비
벚꽃 문신,박경희,실천문학
얼굴을 더듬다,유종인,실천문학
ㄹ : 성기완 시집,성기완,민음사
유량자,정 찬 지음,(주)문학동네
"섬, 세월이 가면",곽의진,북치는마을
"존재인 척, 아닌 척 : 박금산 장편소설",박금산 지음.,뿔
포주 이야기 : 김태용 소설집,김태용,문학과지성사
하루의 인생 : 김현영 소설집,김현영,자음과모음
파씨의 입문 : 황정은 소설집,황정은,창비
눈빛 : 김제철 장편소설 : 한·중·일·러시아의 이토 히로부미 저격을 둘러싼 미스터리,김제철,푸른사상사
너의 목소리가 들려 : 김영하 장편소설,김영하,문학동네
늙은 소년의 아코디언 : 김열규 산문,김열규,산지니
개를 산책시키는 남자 : 전민식 장편소설,전민식,은행나무
"댄싱 맘,전자자료",조명숙,산지니
묵시록의 네 기사,복도훈,자음과모음
서쪽 숲에 갔다 : 편혜영 장편소설,편혜영,문학과지성사
미안한 마음 : 함민복 산문집,"함민복, 추덕영",대상미디어
"달려라, 탁샘 : 탁동철 선생과 아이들의 산골 학교 이야기",탁동철 지음,양철북
나의 아름다운 마라톤 : 이채원 장편소설,이채원,현대문학
어디로 갈까요 : 김서령 소설집,김서령,현대문학
돌의 말 : 오수연 장편소설,오수연,문학동네
똥개 행진곡 : 김종광 장편소설,김종광,웅진씽크빅
세계의 모든 해변처럼 : 하재연 시집,하재연,문학과지성사
某月某日의 별자리 : 황학주 시집,황학주,지혜
"나, 진성은 신라의 왕이다 : 안명옥 시집",안명옥,문학의전당
기울어짐에 대하여 : 문숙 시집,문숙,애지
사랑하는 아들아 : 유자효 시조집,유자효,東芳기획
차경 : 김은령 시집,김은령,황금알
적막 소리 : 문인수 시집,문인수,창비
뿔을 적시며 : 이상국 시집,이상국,창비
그 모든 가장자리 : 백무산 시집,백무산,창비
기억의 못갖춘마디 : 강연호 시집,강연호 지음,문예중앙(중앙북스)
죽은 물푸레나무에 대한 기억 : 권진희 시집,권진희,푸른사상사
밤의 분명한 사실들 : 진수미 시집,진수미,민음사
굴참나무 숲에서 : 이건청 시집,이건청,서정시학
디아스포라의 눈 : 서경식 에세이,"서경식,한승동 옮김",한겨레출판
조드 : 김형수 장편소설,김형수,자음과모음
비성년열전 : 신해욱 에세이,신해욱,현대문학
"얘들아, 모든 이름을 사랑해 : 김경인 시집",김경인,민음사
한산수첩 : 유익서 장편소설,유익서,산지니
욕조 : 김희진 소설,김희진,민음사
톰은 톰과 잤다 : 손홍규 소설집,손홍규,문학과지성사
아흔아홉 : 김도연 소설,김도연,작가정신
레가토 : 권여선 장편소설,권여선,창비
태연한 인생 : 은희경 장편소설,은희경,창비
친애하는 사물들 : 이현승 시집,이현승,문학동네
단추,심상대 지음,휴먼앤북스
위풍당당 : 성석제 장편소설,성석제 지음,문학동네
잘 가요 엄마 : 김주영 장편소설,김주영,문학동네
일F,"비1 일층, 지하 일층 :,김중혁 소설",문학동네
휴 : 이영식 시집,이영식,천년의시작
불쥐 : 이은 시집,이은,지혜
몰아 쓴 일기 : 박성준 시집,박성준,문학과지성사
차가운 잠 : 이근화 시집,이근화,문학과지성사
노끈 : 이성목 시집,이성목,애지
와온 바다 : 곽재구 시집,곽재구,창비
아무튼 씨 미안해요 : 김중일 시집,김중일,창비
봄에 덧나다 : 조혜영 시집,조혜영,푸른사상사
유리체를 통과하다,고형렬,실천문학
회색 병동 : 이인철 詩集,이인철 지음,작가세계
스스로 웃는 매미 : 장대송 시집,장대송,문학동네
백치는 대기를 느낀다 : 서대경 시집,서대경,문학동네
아무 날의 도시 : 신용목 시집,신용목,문학과지성사
김수영을 위하여 : 우리 인문학의 자긍심,강신주,천년의상상
시인의 서랍 : 이정록 산문집,이정록,한겨레출판
